cod_producto_comercial;cod_modalidad;fec_alta;cod_idioma_alpha2;fec_baja;nom_comercial;desc_producto;desc_producto_ext;desc_factura;fec_creacion;fec_actualizacion
PADXA1;DOUAOF;2023-10-31 00:00:00;es;;Paq Premium domicilio;Los envÃ­os urgentes con entrega en domicilio;Plazo de entrega garantizado;Paq Premium domicilio;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;es;;Paq Premium Oficina;Los envÃ­os urgentes con entrega en cualquiera de las oficinas de Correos;Plazo de entrega garantizado;Paq Premium oficina;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;es;;Paq Premium Citypaq;Los envÃ­os urgentes con entrega en dispositivos inteligentes, disponible las 24 horas de los 7 dÃ­as de las semana;Plazo de entrega garantizado;Paq Premium Citypaq;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;es;;iPaq Plus domicilio;OpciÃ³n perfecta para la distribuciÃ³n de tus envÃ­os urgentes;Plazo de entrega garantizado;Paq Premium domicilio;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;en;;iPaq Plus home;Deliveries that meet your requirements, where and when you need;Guaranteed delivery time;Paq Premium domicilio;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;ca;;iPaq Plus domicili;Tramesa adaptada a tu, on i quan et calgui;Termini de lliurament garantit;Paq Premium domicilio;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;eu;;iPaq Plus helbidea;Zuretzako egokitutako bidalketa, behar duzun tokian eta noiz;Entrega-epea bermatua;Paq Premium domicilio;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;ga;;iPaq Plus domicilio;EnvÃ­o adaptado a ti, onde e cando o necesites;Plazo de entrega garantido;Paq Premium domicilio;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;va;;iPaq Plus domicili;Tramesa adaptada a tu, on i quan et calgui;Termini de lliurament garantit;Paq Premium domicilio;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;es;;iPaq Plus oficina;OpciÃ³n perfecta para la distribuciÃ³n de tus envÃ­os urgentes;Plazo de entrega garantizado;Paq Premium oficina;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;en;;iPaq Plus office;Deliveries that meet your requirements, where and when you need;Guaranteed delivery time;Paq Premium oficina;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;ca;;iPaq Plus oficina;Tramesa adaptada a tu, on i quan et calgui;Termini de lliurament garantit;Paq Premium oficina;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;eu;;iPaq Plus bulegoa;Zuretzako egokitutako bidalketa, behar duzun tokian eta noiz;Entrega-epea bermatua;Paq Premium oficina;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;ga;;iPaq Plus oficina;EnvÃ­o adaptado a ti, onde e cando o necesites;Plazo de entrega garantido;Paq Premium oficina;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;va;;iPaq Plus oficina;Tramesa adaptada a tu, on i quan et calgui;Termini de lliurament garantit;Paq Premium oficina;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOMCIT;2023-10-31 00:00:00;es;;iPaq Plus domicilio admisiÃ³n Citypaq;PaqueterÃ­a con admisiÃ³n en Citypaq y entrega en domicilio;Plazo de entrega garantizado;iPaq Plus domicilio admitido en Citypaq;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFICIT;2023-10-31 00:00:00;es;;iPaq Plus oficina admisiÃ³n Citypaq;PaqueterÃ­a con admisiÃ³n en Citypaq y entrega en una oficina de Correos;Plazo de entrega garantizado;iPaq Plus Oficina admitido en Citypaq;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;DOUAOF;2023-10-31 00:00:00;es;;Paq EstÃ¡ndar domicilio;EnvÃ­o responsable con entrega a domicilio;EnvÃ­o responsable: este tipo de envÃ­o no urgente permite optimizar las rutas de reparto esperando a que el transporte estÃ© completo, lo que contribuye a reducir las emisiones;Paq EstÃ¡ndar domilicio;2023-10-31 00:00:00;2023-10-31 00:00:00
